,house_id,met_vok_id,route,duration,distance
40,4200,4,"{'coordinates': [[37.63616, 55.742809], [37.636335, 55.742486], [37.635971, 55.742394], [37.635751, 55.742271], [37.635791, 55.742221], [37.635995, 55.74195], [37.635429, 55.741805], [37.633983, 55.741443], [37.633997, 55.741425], [37.633302, 55.741233], [37.633012, 55.740952], [37.632573, 55.740839], [37.632686, 55.7407], [37.63243, 55.740636], [37.632903, 55.740048], [37.629945, 55.739172], [37.629931, 55.739135], [37.628441, 55.738968], [37.627713, 55.733524], [37.627292, 55.732519], [37.626555, 55.731733], [37.625649, 55.730064], [37.625375, 55.730082], [37.624114, 55.730023], [37.624165, 55.729739], [37.623889, 55.729608], [37.623808, 55.729219], [37.623574, 55.728848], [37.62297, 55.728847], [37.62295, 55.728787]], 'type': 'LineString'}",1549.127,2117.198
41,4200,5,"{'coordinates': [[37.63616, 55.742809], [37.636335, 55.742486], [37.635971, 55.742394], [37.635751, 55.742271], [37.635791, 55.742221], [37.635995, 55.74195], [37.635429, 55.741805], [37.633983, 55.741443], [37.633997, 55.741425], [37.633012, 55.740952], [37.632573, 55.740839], [37.632686, 55.7407], [37.63243, 55.740636], [37.632903, 55.740048], [37.629945, 55.739172], [37.629931, 55.739135], [37.628441, 55.738968], [37.627292, 55.732519], [37.626555, 55.731733], [37.625649, 55.730064], [37.625206, 55.727647], [37.625342, 55.726962], [37.625483, 55.726762], [37.625921, 55.726808], [37.625912, 55.726832], [37.625861, 55.726826], [37.62563, 55.726801], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",1669.226,2320.802
42,6465,0,"{'coordinates': [[37.634365, 55.73117], [37.634419, 55.731017], [37.635418, 55.731127], [37.635528, 55.731188], [37.635764, 55.731234], [37.635869, 55.731217], [37.636784, 55.73138], [37.636806, 55.731342], [37.636238, 55.731234], [37.637278, 55.730003], [37.637947, 55.730045], [37.637978, 55.729909], [37.640902, 55.730121]], 'type': 'LineString'}",461.86,610.138
43,6465,1,"{'coordinates': [[37.634365, 55.73117], [37.634339, 55.731247], [37.634898, 55.731307], [37.634869, 55.731447], [37.63523, 55.73154], [37.633101, 55.734847], [37.631271, 55.736724], [37.630243, 55.738445], [37.62979, 55.739785], [37.629651, 55.739848], [37.629464, 55.740756], [37.625663, 55.740903], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",1159.915,1589.384
44,6465,2,"{'coordinates': [[37.634365, 55.73117], [37.634339, 55.731247], [37.634898, 55.731307], [37.634869, 55.731447], [37.63523, 55.73154], [37.633101, 55.734847], [37.631271, 55.736724], [37.630243, 55.738445], [37.62979, 55.739785], [37.629651, 55.739848], [37.629452, 55.74224], [37.629237, 55.742202], [37.629246, 55.742269], [37.629478, 55.742377], [37.629326, 55.742457], [37.629323, 55.742415], [37.629317, 55.742346]], 'type': 'LineString'}",1036.4,1427.786
45,6465,3,"{'coordinates': [[37.634365, 55.73117], [37.634419, 55.731017], [37.635418, 55.731127], [37.635528, 55.731188], [37.635764, 55.731234], [37.635869, 55.731217], [37.63723, 55.731464]], 'type': 'LineString'}",162.849,203.536
46,6465,4,"{'coordinates': [[37.634365, 55.73117], [37.634419, 55.731017], [37.63354, 55.730928], [37.629641, 55.73052], [37.629803, 55.730415], [37.626749, 55.730126], [37.626724, 55.7302], [37.625681, 55.730124], [37.625649, 55.730064], [37.625375, 55.730082], [37.624114, 55.730023], [37.624165, 55.729739], [37.623889, 55.729608], [37.623808, 55.729219], [37.623621, 55.729128], [37.623574, 55.728848], [37.62297, 55.728847], [37.62295, 55.728787]], 'type': 'LineString'}",702.36,906.773
47,6465,5,"{'coordinates': [[37.634365, 55.73117], [37.634419, 55.731017], [37.63354, 55.730928], [37.629641, 55.73052], [37.629803, 55.730415], [37.626749, 55.730126], [37.626724, 55.7302], [37.625681, 55.730124], [37.625803, 55.72961], [37.625206, 55.727647], [37.625175, 55.727328], [37.625342, 55.726962], [37.625483, 55.726762], [37.625921, 55.726808], [37.625912, 55.726832], [37.625861, 55.726826], [37.62563, 55.726801], [37.625332, 55.726762], [37.62517, 55.727206]], 'type': 'LineString'}",822.458,1110.377
48,6741,0,"{'coordinates': [[37.634246, 55.735077], [37.634411, 55.735091], [37.634425, 55.735034], [37.634951, 55.735074], [37.635473, 55.734959], [37.636733, 55.732953], [37.636982, 55.733003], [37.637857, 55.731583], [37.638531, 55.731797], [37.639243, 55.732253], [37.639262, 55.732346], [37.639648, 55.732544], [37.640169, 55.732285], [37.6414, 55.73086], [37.641648, 55.730758], [37.641314, 55.730358], [37.641378, 55.730156], [37.640902, 55.730121]], 'type': 'LineString'}",701.473,1009.325
49,6741,1,"{'coordinates': [[37.634246, 55.735077], [37.634232, 55.735131], [37.633218, 55.735054], [37.632917, 55.735054], [37.631271, 55.736724], [37.630243, 55.738445], [37.62996, 55.73904], [37.62979, 55.739785], [37.629651, 55.739848], [37.629464, 55.740756], [37.627561, 55.740878], [37.625663, 55.740903], [37.625664, 55.740775], [37.625659, 55.740638], [37.625048, 55.740608], [37.625051, 55.740978], [37.625142, 55.741124], [37.625692, 55.741177]], 'type': 'LineString'}",836.36,1173.45
